,Ticker,CIK,Name,SIC,Year_end
2709,USAC,1522727,"USA Compression Partners, LP ",4922,1231
2710,RDWR,1094366,RADWARE LTD ,7389,1231
2711,EVH,1628908,"Evolent Health, Inc. ",8741,1231
2712,MLCO,1381640,Melco Resorts & Entertainment LTD ,7011,1231
2713,COHU,21535,COHU INC ,3825,1226
2714,FDP,1047340,FRESH DEL MONTE PRODUCE INC ,0100,0101
2715,PAR,708821,PAR TECHNOLOGY CORP ,3578,1231
2716,FMCC,1026214,FEDERAL HOME LOAN MORTGAGE CORP ,6111,1231
2717,KPTI,1503802,Karyopharm Therapeutics Inc. ,2834,1231
2718,EPZM,1571498,"Epizyme, Inc. ",2834,1231
2719,GEO,923796,GEO GROUP INC ,6798,1231
2720,FOE,35214,FERRO CORP ,2851,1231
2721,BPMP,1708301,BP Midstream Partners LP ,4610,1231
2722,UCTT,1275014,"Ultra Clean Holdings, Inc. ",3674,1227
2723,NMRK,1690680,"NEWMARK GROUP, INC. ",6531,1231
2724,PGEN,1356090,"PRECIGEN, INC. ",8731,1231
2725,PSNL,1527753,"Personalis, Inc. ",8071,1231
2726,SYX,945114,SYSTEMAX INC ,5084,1231
2727,IMGN,855654,"ImmunoGen, Inc. ",2834,1231
2728,BST,1616678,BlackRock Science & Technology Trust ,NaN,1231
2729,INVA,1080014,"Innoviva, Inc. ",2834,1231
2730,CNR,883902,"Cornerstone Building Brands, Inc. ",3448,1231
2731,BOOT,1610250,"Boot Barn Holdings, Inc. ",5661,0327
2732,BALY,1747079,Bally's Corp ,7011,1231
2733,EVER,1640428,"EverQuote, Inc. ",7370,1231
2734,ALEX,1545654,"Alexander & Baldwin, Inc. ",6798,1231
2735,PRIM,1361538,Primoris Services Corp ,1623,1231
2736,ELF,1600033,"e.l.f. Beauty, Inc. ",2844,0331
2737,RNA,1599901,"Avidity Biosciences, Inc. ",2834,1231
2738,CYTK,1061983,CYTOKINETICS INC ,2834,1231
2739,PHAT,1783183,"Phathom Pharmaceuticals, Inc. ",2834,1231
2740,DLX,27996,DELUXE CORP ,2780,1231
2741,BUSE,314489,FIRST BUSEY CORP /NV/ ,6022,1231
2742,OPI,1456772,OFFICE PROPERTIES INCOME TRUST ,6500,1231
2743,SWM,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC ,2621,1231
2744,PRTC,1782999,PureTech Health plc ,2834,1231
2745,DHC,1075415,DIVERSIFIED HEALTHCARE TRUST ,6798,1231
2746,LOMA,1711375,Loma Negra Compania Industrial Argentina Sociedad Anonima ,3241,NaN
2747,SUPN,1356576,"SUPERNUS PHARMACEUTICALS, INC. ",2834,1231
2748,NFH,1737422,New Frontier Health Corp ,6770,1231
2749,VBTX,1501570,"Veritex Holdings, Inc. ",6022,1231
2750,NKTX,1787400,"Nkarta, Inc. ",2834,1231
2751,RGR,95029,STURM RUGER & CO INC ,3480,1231
2752,UVV,102037,UNIVERSAL CORP /VA/ ,5150,0331
2753,ERJ,1355444,EMBRAER S.A. ,3721,NaN
2754,AMSF,1018979,AMERISAFE INC ,6331,1231
2755,MODN,1118417,"MODEL N, INC. ",7370,0930
2756,ZGNX,1375151,"ZOGENIX, INC. ",2834,1231
2757,ECOL,1783400,"US Ecology, Inc. ",4953,1231
2758,SAFT,1172052,SAFETY INSURANCE GROUP INC ,6331,1231
2759,TBPH,1583107,"Theravance Biopharma, Inc. ",2834,1231
2760,ATRI,701288,ATRION CORP ,3841,1231
2761,MTDR,1520006,Matador Resources Co ,1311,1231
2762,LADR,1577670,Ladder Capital Corp ,6798,1231
2763,AR,1433270,ANTERO RESOURCES Corp ,1311,1231
2764,PGTI,1354327,"PGT Innovations, Inc. ",3442,0102
2765,VSTA,1792829,Vasta Platform Ltd ,8200,1231
2766,NMFC,1496099,New Mountain Finance Corp ,NaN,1231
2767,CNST,1434418,CONSTELLATION PHARMACEUTICALS INC ,2834,1231
2768,GBX,923120,GREENBRIER COMPANIES INC ,3743,0831
2769,BLFS,834365,BIOLIFE SOLUTIONS INC ,3845,1231
2770,CRK,23194,COMSTOCK RESOURCES INC ,1311,1231
2771,EVOP,1704596,"EVO Payments, Inc. ",7389,1231
2772,STAR,1095651,ISTAR INC. ,6798,1231
2773,WIRE,850460,ENCORE WIRE CORP ,3350,1231
2774,LBRT,1694028,Liberty Oilfield Services Inc. ,1389,1231
2775,PLUS,1022408,EPLUS INC ,5045,0331
2776,VCEL,887359,Vericel Corp ,2836,1231
2777,CHCO,726854,CITY HOLDING CO ,6021,1231
2778,AZZ,8947,AZZ INC ,3640,0228
2779,EFSC,1025835,ENTERPRISE FINANCIAL SERVICES CORP ,6022,1231
2780,NXRT,1620393,"NexPoint Residential Trust, Inc. ",6798,1231
2781,CHCT,1631569,Community Healthcare Trust Inc ,6798,1231
2782,BIF,102426,BOULDER GROWTH & INCOME FUND ,NaN,1130
2783,NXGN,708818,"NEXTGEN HEALTHCARE, INC. ",7373,0331
2784,PRPB,1812667,CC Neuberger Principal Holdings II ,6770,1231
2785,BWMX,1788257,"Betterware de Mexico, S.A.B. de C.V. ",5961,1231
2786,CRTO,1576427,Neuberger Berman Group LLC ,NaN,1231
2787,ORIC,1796280,ORBIMED ADVISORS LLC ,NaN,NaN
2788,CGEN,1119774,COMPUGEN LTD ,2836,1231
2789,OPRA,1737450,Opera Ltd ,7372,1231
2790,BROG,1774983,Brooge Energy Ltd ,2911,1231
2791,AMTI,1801777,Applied Molecular Transport Inc. ,2834,1231
2792,VCRA,1129260,"VOCERA COMMUNICATIONS, INC. ",3669,1231
2793,FGROY,1438926,FirstGroup ,NaN,NaN
2794,DOMO,1505952,MORGAN STANLEY ,6211,1231
2795,OCUL,1393434,"OCULAR THERAPEUTIX, INC ",2834,1231
2796,DRQ,1042893,DRIL-QUIP INC ,3533,1231
2797,HOME,1646228,At Home Group Inc. ,5700,0125
2798,FRG,1528930,"Franchise Group, Inc. ",6794,1228
2799,GPRO,1500435,"GoPro, Inc. ",3861,1231
2800,CERS,1020214,CERUS CORP ,3841,1231
2801,SMP,93389,"STANDARD MOTOR PRODUCTS, INC. ",3714,1231
2802,TGP,1308106,Teekay LNG Partners L.P. ,4400,1231
2803,CYH,1108109,COMMUNITY HEALTH SYSTEMS INC ,8062,1231
2804,GIII,821002,G III APPAREL GROUP LTD /DE/ ,2300,0131
2805,NEXA,1713930,Nexa Resources S.A. ,1000,1231
2806,IPOC,1801170,Social Capital Hedosophia Holdings Corp. III ,6324,1231
2807,FRTA,1678463,"Forterra, Inc. ",3272,1231
2808,FAX,790500,ABERDEEN ASIA-PACIFIC INCOME FUND INC ,0000,1031
2809,RNP,1224450,COHEN & STEERS REIT & PREFERRED & INCOME FUND INC ,NaN,1231
2810,GES,912463,GUESS INC ,2340,0130
2811,VLRS,1520504,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V. ",4512,1231
2812,TTCF,1741231,"Tattooed Chef, Inc. ",2090,1231
2813,LABL,819220,MULTI COLOR Corp ,2750,0331
2814,NBHC,1475841,National Bank Holdings Corp ,6021,1231
2815,GTH,1782594,Genetron Holdings Ltd ,8071,1231
2816,ECPG,1084961,ENCORE CAPITAL GROUP INC ,6153,1231
2817,SBSI,705432,SOUTHSIDE BANCSHARES INC ,6022,1231
2818,RPTX,1808158,Repare Therapeutics Inc. ,2834,1231
2819,ULNV,1605810,"Porter Holding International, Inc. ",5810,1231
2820,ETW,1322435,EATON VANCE MUNICIPAL INCOME TRUST ,NaN,1130
2821,QQQX,1608741,Nuveen NASDAQ 100 Dynamic Overwrite Fund ,NaN,1231
2822,DDS,28917,"DILLARD'S, INC. ",5311,0201
2823,SSP,832428,E.W. SCRIPPS Co ,4833,1231
2824,CATM,1671013,Cardtronics plc ,7389,1231
2825,NHC,1047335,NATIONAL HEALTHCARE CORP ,8051,1231
2826,KNSA,1730430,"Kiniksa Pharmaceuticals, Ltd. ",2834,1231
2827,WDR,1052100,WADDELL & REED FINANCIAL INC ,6211,1231
2828,FLGT,1674930,"Fulgent Genetics, Inc. ",8071,1231
2829,CRHC,1818212,Cohn Robbins Holdings Corp. ,6770,1231
2830,PBI,78814,PITNEY BOWES INC /DE/ ,3579,1231
2831,TIGR,1756699,UP Fintech Holding Ltd ,6211,1231
2832,PRRFY,1446252,Premier Foods plc ,8880,1231
2833,RMR,1644378,RMR GROUP INC. ,8742,0930
2834,ARQT,1787306,"Arcutis Biotherapeutics, Inc. ",2834,1231
2835,SPH,1005210,SUBURBAN PROPANE PARTNERS LP ,5900,0926
2836,DIN,49754,"Dine Brands Global, Inc. ",5812,1231
2837,IPOB,1801169,Social Capital Hedosophia Holdings Corp. II ,6531,1231
2838,ACEL,1698991,"Accel Entertainment, Inc. ",7900,1231
2839,KREF,1631596,Kohlberg Kravis Roberts & Co. L.P. ,NaN,1231
2840,LRN,1157408,K12 INC ,8200,0630
2841,RWT,930236,REDWOOD TRUST INC ,6798,1231
2842,ITPOF,880224,INTERTAPE POLYMER GROUP INC ,2670,1231
2843,EOS,1308335,EATON VANCE MUNICIPAL INCOME TRUST ,NaN,1130
2844,CTS,26058,CTS CORP ,3672,1231
2845,CCF,830524,CHASE CORP ,3640,0831
2846,NVEE,1532961,"NV5 Global, Inc. ",7380,0102
2847,FFC,1174164,Flaherty & Crumrine PREFERRED & INCOME SECURITIES FUND INC ,NaN,1130
2848,TMP,1005817,TOMPKINS FINANCIAL CORP ,6022,1231
2849,LMNX,1033905,LUMINEX CORP ,3841,1231
2850,DGNR,1818201,Dragoneer Growth Opportunities Corp. ,6770,1231
2851,ARCO,1508478,Arcos Dorados Holdings Inc. ,5812,1231
2852,TCBK,356171,TRICO BANCSHARES / ,6022,1231
2853,HEES,1339605,"H&E Equipment Services, Inc. ",7350,1231
2854,HURN,1289848,Huron Consulting Group Inc. ,8742,1231
2855,CANG,1725123,Cango Inc. ,7372,1231
2856,ALEC,1653087,"Alector, Inc. ",2836,1231
2857,ARCB,894405,ARCBEST CORP /DE/ ,4213,1231
2858,JWS,1800682,"SUVRETTA CAPITAL MANAGEMENT, LLC ",NaN,1231
2859,CDXS,1200375,"CODEXIS, INC. ",2860,1231
2860,XPEL,1767258,"XPEL, Inc. ",3470,1231
2861,PLT,914025,PLANTRONICS INC /CA/ ,3661,0403
2862,AKRO,1744659,"Akero Therapeutics, Inc. ",2834,1231
2863,PLRX,1746473,"PLIANT THERAPEUTICS, INC. ",2834,1231
2864,SBE,1777393,Switchback Energy Acquisition Corp ,3790,1231
2865,AVO,1802974,"Mission Produce, Inc. ",0700,1231
2866,DK,1694426,"Delek US Holdings, Inc. ",2911,1231
2867,LAC,1440972,LITHIUM AMERICAS CORP. ,1000,1231
2868,OCFC,1004702,OCEANFIRST FINANCIAL CORP ,6035,1231
2869,RYTM,1649904,"RHYTHM PHARMACEUTICALS, INC. ",2834,1231
2870,RDNT,790526,"RadNet, Inc. ",8071,1231
2871,FBNC,811589,FIRST BANCORP /NC/ ,6022,1231
2872,SRCE,34782,1ST SOURCE CORP ,6022,1231
2873,EIG,1379041,"Employers Holdings, Inc. ",6331,1231
2874,GRVY,1313310,"GRAVITY Co., Ltd. ",7389,1231
2875,SCWX,1468666,SecureWorks Corp ,7372,0131
2876,CHY,1222719,CALAMOS CONVERTIBLE & HIGH INCOME FUND ,NaN,1031
2877,FCF,712537,FIRST COMMONWEALTH FINANCIAL CORP /PA/ ,6021,1231
2878,NTGR,1122904,"NETGEAR, INC. ",3661,1231
2879,AWF,906013,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC ,NaN,0331
2880,QADA,1036188,QAD INC ,7372,0131
2881,ANNX,1528115,"Annexon, Inc. ",2834,1231
2882,GSAH,1809987,GS Acquisition Holdings Corp II ,6770,1231
2883,EIM,1176984,EATON VANCE MUNICIPAL INCOME TRUST ,NaN,1130
2884,GLNG,1207179,MORGAN STANLEY ,6211,1231
2885,HMI,1720446,Huami Corp ,3571,1231
2886,OXM,75288,OXFORD INDUSTRIES INC ,2320,0130
2887,ARVN,1655759,"ARVINAS, INC. ",2834,1231
2888,EBIX,814549,EBIX INC ,7373,1231
2889,IRET,798359,INVESTORS REAL ESTATE TRUST ,6798,1231
2890,QIWI,1561566,QIWI ,7389,1231
2891,GNMK,1487371,"GenMark Diagnostics, Inc. ",3841,1231
2892,DEN,945764,DENBURY INC ,1311,1231
2893,MYI,883412,"BLACKROCK MUNICIPAL BOND FUND, INC. ",NaN,0630
2894,FTOC,1816090,FTAC Olympus Acquisition Corp. ,6770,1231
2895,NWBO,1072379,NORTHWEST BIOTHERAPEUTICS INC ,2834,1231
2896,SYBT,835324,"Stock Yards Bancorp, Inc. ",6022,1231
2897,INSG,1022652,INSEEGO CORP. ,3669,1231
2898,CLNC,1717547,"Colony Credit Real Estate, Inc. ",6798,1231
2899,DDD,910638,3D SYSTEMS CORP ,7372,1231
2900,AIR,1750,AAR CORP ,3720,0531
2901,AGYS,78749,AGILYSYS INC ,7373,0331
2902,BRKL,1049782,BROOKLINE BANCORP INC ,6035,1231
2903,RMAX,1581091,"RE/MAX Holdings, Inc. ",6531,1231
2904,HQH,805267,TEKLA HEALTHCARE INVESTORS ,NaN,0930
2905,SZGPY,1450344,Salzgitter AG / ADR ,NaN,NaN
2906,CLB,1000229,CORE LABORATORIES N V ,1389,1231
2907,GWB,1613665,"Great Western Bancorp, Inc. ",6022,0930
2908,SXI,310354,STANDEX INTERNATIONAL CORP/DE/ ,3580,0630
2909,DRD,1023512,DRDGOLD LTD ,1040,0630
2910,UNFI,1020859,UNITED NATURAL FOODS INC ,5141,0801
2911,NK,1326110,"NantKwest, Inc. ",2836,1231
2912,URYL,1652842,United Royale Holdings Corp. ,0100,1231
2913,WNC,879526,WABASH NATIONAL Corp ,3715,1231
2914,STBA,719220,S&T BANCORP INC ,6022,1231
2915,CSTL,1447362,CASTLE BIOSCIENCES INC ,8071,1231
2916,LOVV,1605780,"LOVE INTERNATIONAL GROUP, INC. ",5900,1231
2917,CLLS,1627281,Cellectis S.A. ,2836,1231
2918,EVRI,1318568,Everi Holdings Inc. ,7990,1231
2919,RTP,1819848,Reinvent Technology Partners ,6770,1231
2920,JPC,1216583,Nuveen Preferred & Income Opportunities Fund ,NaN,0731
2921,QNST,1117297,"QUINSTREET, INC ",7389,0630
2922,KNDI,1316517,"Kandi Technologies Group, Inc. ",3711,1231
2923,AXL,1062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC ,3714,1231
2924,FOR,1406587,Forestar Group Inc. ,6500,0930
2925,MCRI,907242,MONARCH CASINO & RESORT INC ,7011,1231
2926,CLS,1030894,CELESTICA INC ,3672,1231
2927,SNDX,1395937,Syndax Pharmaceuticals Inc ,2834,1231
2928,OTRK,1136174,"Ontrak, Inc. ",8090,1231
2929,FXCNY,1164009,FIH Mobile Ltd ,NaN,NaN
2930,MORF,1679363,"Morphic Holding, Inc. ",2834,1231
2931,SWBI,1092796,"SMITH & WESSON BRANDS, INC. ",3480,0430
2932,SRG,1628063,Seritage Growth Properties ,6500,1231
2933,TGH,1413159,TEXTAINER GROUP HOLDINGS LTD ,7359,1231
2934,TLRY,1731348,"Tilray, Inc. ",2833,1231
2935,LTMAQ,1047716,LATAM AIRLINES GROUP S.A. ,4512,1231
2936,HY,1173514,"HYSTER-YALE MATERIALS HANDLING, INC. ",3537,1231
2937,KFRC,930420,KFORCE INC ,7363,1231
2938,TCRR,1750019,TCR2 THERAPEUTICS INC. ,2836,1231
2939,SWDHY,1531006,Deutsche Bank Trust Co Americas/ ADR Group ,NaN,1231
2940,SLCJY,1523541,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
2941,INBX,1739614,"Inhibrx, Inc. ",2836,1231
2942,AUDC,1086434,AUDIOCODES LTD ,3661,1231
2943,CPG,1545851,Crescent Point Energy Corp. ,1311,1231
2944,TPRE,1576018,Third Point Reinsurance Ltd. ,6331,1231
2945,IMAX,921582,IMAX CORP ,3861,1231
2946,GRC,42682,GORMAN RUPP CO ,3561,1231
2947,KIDS,1425450,ORTHOPEDIATRICS CORP ,3841,1231
2948,DHT,1331284,"DHT Holdings, Inc. ",4412,NaN
2949,ENTA,1177648,ENANTA PHARMACEUTICALS INC ,2834,0930
2950,CMCO,1005229,COLUMBUS MCKINNON CORP ,3531,0331
2951,PAE,1720821,PAE Inc ,8700,1231
2952,KRNY,1617242,Kearny Financial Corp. ,6035,0630
2953,PBF,1534504,PBF Energy Inc. ,2911,1231
2954,CNDT,1677703,CONDUENT Inc ,7389,1231
2955,GABC,714395,"GERMAN AMERICAN BANCORP, INC. ",6022,1231
2956,AOD,1379400,ABERDEEN TOTAL DYNAMIC DIVIDEND FUND ,NaN,1031
2957,ZUMZ,1318008,Zumiez Inc ,5600,0201
2958,UIS,746838,UNISYS CORP ,7373,1231
2959,HFWA,1046025,HERITAGE FINANCIAL CORP /WA/ ,6036,1231
2960,DYN,1818794,"Dyne Therapeutics, Inc. ",2834,1231
2961,SEZNL,1662991,Sezzle Inc. ,NaN,1231
2962,CHI,1171471,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND ,NaN,1031
2963,ACLS,1113232,AXCELIS TECHNOLOGIES INC ,3559,1231
2964,PLOW,1287213,"DOUGLAS DYNAMICS, INC ",3531,1231
2965,CENX,949157,CENTURY ALUMINUM CO ,3334,1231
2966,OFG,1030469,OFG BANCORP ,6022,1231
2967,AMPH,1297184,"Amphastar Pharmaceuticals, Inc. ",2834,1231
2968,PTNR,1096691,PARTNER COMMUNICATIONS CO LTD ,4812,1231
2969,BHE,863436,BENCHMARK ELECTRONICS INC ,3672,1231
2970,PRA,1127703,PROASSURANCE CORP ,6331,1231
2971,SHYF,743238,"SHYFT GROUP, INC. ",3711,1231
2972,GAM,40417,GENERAL AMERICAN INVESTORS CO INC ,NaN,1231
2973,OEC,1609804,Orion Engineered Carbons S.A. ,2890,1231
2974,INN,1497645,"Summit Hotel Properties, Inc. ",6798,1231
2975,JBSS,880117,SANFILIPPO JOHN B & SON INC ,2060,0628
2976,BHLB,1108134,VANGUARD GROUP INC ,NaN,1231
2977,MEG,1643615,"Montrose Environmental Group, Inc. ",8742,1231
2978,MATW,63296,MATTHEWS INTERNATIONAL CORP ,3360,0930
2979,CCX,1774675,Churchill Capital Corp II ,6770,1231
2980,CLM,814083,CORNERSTONE STRATEGIC VALUE FUND INC ,NaN,1231
2981,ALP-PQ,3153,ALABAMA POWER CO ,4911,1231
2982,CTAGY,1450009,Capita Group/ADR ,NaN,NaN
2983,PACK,1712463,Ranpak Holdings Corp. ,2670,1231
2984,RAVN,82166,RAVEN INDUSTRIES INC ,3081,0131
2985,CEVA,1173489,CEVA INC ,3674,1231
2986,BHK,1160864,BLACKROCK CORE BOND TRUST ,NaN,1031
2987,OSUR,1116463,ORASURE TECHNOLOGIES INC ,3841,1231
2988,HA,1172222,HAWAIIAN HOLDINGS INC ,4512,1231
2989,JOUT,788329,JOHNSON OUTDOORS INC ,3949,1002
2990,ITOS,1808865,"iTeos Therapeutics, Inc. ",2836,1231
2991,LNTH,1521036,"Lantheus Holdings, Inc. ",2835,1231
2992,SFL,1289877,SFL Corp Ltd. ,4412,NaN
2993,FPH,1574197,"Five Point Holdings, LLC ",6500,1231
2994,HCC,1691303,"WARRIOR MET COAL, INC. ",1220,1231
2995,FPAC,1829426,Far Peak Acquisition Corp ,6770,0930
2996,RBBN,1708055,Ribbon Communications Inc. ,7373,1231
2997,CMRE,1503584,Costamare Inc. ,4412,1231
2998,RILY,1464790,"B. Riley Financial, Inc. ",7389,1231
2999,VMO,884152,Invesco Municipal Opportunity Trust ,0000,1031
3000,NBLX,1647513,Noble Midstream Partners LP ,4610,1231
3001,BJRI,1013488,BJs RESTAURANTS INC ,5812,1231
3002,GHLD,1821160,Guild Holdings Co ,6162,1231
3003,KRYS,1711279,"Krystal Biotech, Inc. ",2836,1231
3004,SKT,899715,"TANGER FACTORY OUTLET CENTERS, INC ",6798,1231
3005,AHH,1569187,"Armada Hoffler Properties, Inc. ",6500,1231
3006,TCMD,1027838,TACTILE SYSTEMS TECHNOLOGY INC ,3841,1231
3007,HIMX,1342338,"Himax Technologies, Inc. ",3674,1231
3008,MOBL,1470099,"MOBILEIRON, INC. ",7372,1231
3009,FBM,1688941,"Foundation Building Materials, Inc. ",5030,NaN
3010,STKL,351834,SunOpta Inc. ,5150,0102
3011,MYRG,700923,MYR GROUP INC. ,1623,1231
3012,ESPR,1434868,"Esperion Therapeutics, Inc. ",2834,1231
3013,PTGX,1377121,"Protagonist Therapeutics, Inc ",2834,1231
3014,UHT,798783,UNIVERSAL HEALTH REALTY INCOME TRUST ,6798,1231
3015,CALT,1795579,BIOTECHNOLOGY VALUE FUND L P ,6282,1231
3016,MDP,65011,MEREDITH CORP ,2721,0630
3017,TEN,1024725,TENNECO INC ,3714,1231
3018,JQC,1227476,Nuveen Credit Strategies Income Fund ,NaN,0731
3019,RIG,1451505,Transocean Ltd. ,1381,1231
3020,KELYA,55135,KELLY SERVICES INC ,7363,0103
3021,CXW,1070985,"CoreCivic, Inc. ",6798,1231
3022,PI,1114995,IMPINJ INC ,3679,1231
3023,FREQ,1703647,"Frequency Therapeutics, Inc. ",2834,1231
3024,AC,1642122,"GAMCO INVESTORS, INC. ET AL ",6211,1231
3025,TDF,919893,TEMPLETON DRAGON FUND INC ,NaN,1231
3026,GOF,1380936,GUGGENHEIM STRATEGIC OPPORTUNITIES FUND ,NaN,0531
3027,FANH,1413855,FANHUA INC. ,6411,1231
3028,TSHA,1806310,"Taysha Gene Therapies, Inc. ",2836,1231
3029,NVGI,1500122,"Noble Vici Group, Inc. ",7389,0331
3030,KRA,1321646,Kraton Corp ,2821,1231
3031,TRHC,1651561,"Tabula Rasa HealthCare, Inc. ",7389,1231
3032,AFIN,1568162,"American Finance Trust, Inc ",6798,1231
3033,PETQ,1668673,"PetIQ, Inc. ",5122,1231
3034,ALPC,1616736,Alpha Investment Inc. ,6500,1231
3035,ATEC,1350653,"Alphatec Holdings, Inc. ",3841,1231
3036,VIVO,794172,MERIDIAN BIOSCIENCE INC ,2835,0930
3037,GME,1326380,GameStop Corp. ,5734,0130
3038,EMD,1227862,WESTERN ASSET EMERGING MARKETS DEBT FUND INC. ,NaN,1231
3039,HNGR,722723,"HANGER, INC. ",8093,1231
3040,AIO,1778114,AllianzGI Convertible & Income Fund ,NaN,0228
3041,INGN,1294133,Inogen Inc ,3842,1231
3042,FFWM,1413837,First Foundation Inc. ,6022,1231
3043,GOGO,1537054,Gogo Inc. ,4899,1231
3044,IESC,1048268,"IES Holdings, Inc. ",1731,0930
3045,GRPN,1490281,"Groupon, Inc. ",7311,1231
3046,VECO,103145,VEECO INSTRUMENTS INC ,3559,1231
3047,THQ,1604522,Tekla Healthcare Opportunities Fund ,NaN,0930
3048,PRVB,1695357,"Provention Bio, Inc. ",2834,1231
3049,PTEN,889900,PATTERSON UTI ENERGY INC ,1381,1231
3050,LL,1396033,"Lumber Liquidators Holdings, Inc. ",5211,1231
3051,CARA,1346830,"Cara Therapeutics, Inc. ",2834,1231
3052,SCHL,866729,SCHOLASTIC CORP ,2731,0531
3053,ATNI,879585,"ATN International, Inc. ",4813,1231
3054,TGS,931427,GAS TRANSPORTER OF THE SOUTH INC ,4922,1231
3055,CLDX,744218,"Celldex Therapeutics, Inc. ",2835,1231
3056,FORR,1023313,"FORRESTER RESEARCH, INC. ",8700,1231
3057,BRBR,1772016,"BELLRING BRANDS, INC. ",2000,0930
3058,PFC,946647,PREMIER FINANCIAL CORP ,6022,1231
3059,RESI,1555039,Front Yard Residential Corp ,6500,1231
3060,CEL,1385145,Cellcom Israel Ltd. ,4812,1231
3061,BEDU,1696355,Bright Scholar Education Holdings Ltd ,8200,0831
3062,IRCP,1128173,IRSA PROPIEDADES COMERCIALES S.A. ,6512,0630
3063,OSPN,1044777,OneSpan Inc. ,7373,1231
3064,SCU,1403256,"Sculptor Capital Management, Inc. ",6282,1231
3065,MBIN,1629019,Merchants Bancorp ,6022,1231
3066,WRLD,108385,WORLD ACCEPTANCE CORP ,6141,0331
3067,TVTY,704415,"TIVITY HEALTH, INC. ",8090,1231
3068,CRY,784199,CRYOLIFE INC ,3841,1231
3069,SOHU,1734107,Sohu.com Ltd ,7374,1231
3070,CET,18748,CENTRAL SECURITIES CORP ,NaN,1231
3071,CBB,716133,CINCINNATI BELL INC ,4813,1231
3072,PRDO,1046568,PERDOCEO EDUCATION Corp ,8200,1231
3073,ECHO,1426945,"Echo Global Logistics, Inc. ",4731,1231
3074,PDFS,1120914,PDF SOLUTIONS INC ,7372,1231
3075,PAHC,1069899,PHIBRO ANIMAL HEALTH CORP ,2834,0630
3076,ENVA,1529864,"Enova International, Inc. ",6141,1231
3077,IMOS,1123134,CHIPMOS TECHNOLOGIES INC ,3674,1231
3078,LMAT,1158895,LEMAITRE VASCULAR INC ,3841,1231
3079,TCX,909494,TUCOWS INC /PA/ ,7374,1231
3080,SSYS,1517396,STRATASYS LTD. ,3577,1231
3081,ATHA,1620463,"Venrock Healthcare Capital Partners II, L.P. ",NaN,1231
3082,GSKY,1712923,"GreenSky, Inc. ",7389,1231
3083,IMKTA,50493,INGLES MARKETS INC ,5411,0926
3084,IGR,1268884,CBRE CLARION GLOBAL REAL ESTATE INCOME FUND ,NaN,1231
3085,STEP,1796022,StepStone Group Inc. ,6282,0331
3086,NIE,1383441,AllianzGI Convertible & Income Fund ,NaN,0228
3087,CHEF,1517175,"Chefs' Warehouse, Inc. ",5141,1225
3088,IIIV,1728688,"i3 Verticals, Inc. ",7389,0930
3089,DESP,1703141,"Despegar.com, Corp. ",4700,1231
3090,BCSF,1655050,"Bain Capital Specialty Finance, Inc. ",NaN,1231
3091,AGX,100591,ARGAN INC ,1700,0131
3092,MDXG,1376339,"MIMEDX GROUP, INC. ",3841,1231
3093,RBAC,1815184,RedBall Acquisition Corp. ,6770,1231
3094,PASG,1787297,"Passage BIO, Inc. ",2836,1231
3095,EBSB,1600125,"Meridian Bancorp, Inc. ",6021,1231
3096,RA,1655099,Brookfield Real Assets Income Fund Inc. ,NaN,1231
3097,SOLO,1637736,ELECTRAMECCANICA VEHICLES CORP. ,3711,1231
3098,OCSL,1414932,Oaktree Specialty Lending Corp ,NaN,0930
3099,NP,1296435,Neenah Inc ,2621,1231
3100,KYN,1293613,"Kayne Anderson Energy Infrastructure Fund, Inc. ",NaN,1130
3101,CAMT,1109138,CAMTEK LTD ,3827,1231
3102,TPB,1290677,"Turning Point Brands, Inc. ",2100,1231
3103,CII,1278895,"BLACKROCK ENHANCED CAPITAL & INCOME FUND, INC. ",NaN,NaN
3104,HTD,1260041,JOHN HANCOCK TAX-ADVANTAGED DIVIDEND INCOME FUND ,NaN,1231
3105,BKD,1332349,Brookdale Senior Living Inc. ,8050,1231
3106,HMST,1518715,"HomeStreet, Inc. ",6022,1231
3107,HUTCY,1461402,Hutchison Telecommunications Hong Kong Holdings Ltd ,NaN,1231
3108,TOGL,1378125,Toga Ltd ,7385,0731
3109,TRTX,1630472,"TPG RE Finance Trust, Inc. ",6798,1231
3110,BCRX,882796,BIOCRYST PHARMACEUTICALS INC ,2836,1231
3111,ALGS,1799448,"Aligos Therapeutics, Inc. ",2836,1231
3112,SQZ,1604477,SQZ Biotechnologies Co ,2836,1231
3113,ADAP,1621227,Adaptimmune Therapeutics PLC ,2836,1231
3114,NESR,1698514,National Energy Services Reunited Corp. ,1389,1231
3115,SRI,1043337,STONERIDGE INC ,3714,1231
3116,GLDD,1372020,Great Lakes Dredge & Dock CORP ,1600,1231
3117,PLAB,810136,PHOTRONICS INC ,3674,1031
3118,SLRC,1418076,Solar Capital Ltd. ,NaN,1231
3119,RDUS,1428522,BB BIOTECH AG ,0000,1231
